상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
아투 쉘피쉬 독,어덜트,ALL,주식,건식,,1Cm,영국,영국,30%,17%,3.5%,8.5%,8%,1.71%,1.21%,2.9%,1.1%, 글루코사민 (178 mg/kg) 콘드로이틴 (125 mg/kg) MSM (178 mg/kg),"['연어(44%)', '건조 청어(29%)', '가재(2%)', '가리비(2%)', '골뱅이(2%)', '연어육수(1%)', '고구마', '병아리콩', '완두콩', '알팔파', '미네랄', '비타민 A', '비타민 D3', '비타민 E', '글루코사민', 'MSM', '콘트로이틴', '타피오카', '사과', '크랜베리', '배', '블루베리', '멀베리', '오렌지', '빌베리', '카우베리', '당근', '토마토', '치커리', '페퍼민트', '파슬리', '시나몬', '금잔화', '쐐기풀', '카모마일', '로즈힙', '유카', '스피룰리나', '해초', '아니스열매', '호로파', '오레가노', '세이지', '마조람', '백리향', '오메가6', '오메가3', 'L-카르니틴', '엔테로코커스 페슘', '황산제일철', '황산아연1수화물', '황산망간1수화물', '황산구리5수화물', '요오드산칼슘', '아셀렌산나트륨']"
아투 퍼피 연어,퍼피,ALL,주식,건식,,1Cm,영국,영국,35%,18%,2.5%,8.5%,8%,1.63%,1.25%,3.35%,1.6%,,"['연어(44%)', '건조 연어(40%)', '연어육수(1%)', '고구마', '병아리콩', '완두콩', '알팔파', '미네랄', '비타민 A', '비타민 D3', '비타민 E', 'mos', 'FOS', '타피오카', '사과', '크랜베리', '배', '블루베리', '멀베리', '오렌지', '빌베리', '카우베리', '당근', '토마토', '치커리', '페퍼민트', '파슬리', '시나몬', '금잔화', '쐐기풀', '카모마일', '로즈힙', '유카', '스피룰리나', '해초', '아니스열매', '호로파', '오레가노', '세이지', '마조람', '백리향', '오메가6', '오메가3', 'L-카르니틴', '엔테로코커스 페슘', '황산제일철', '황산아연1수화물', '황산망간1수화물', '황산구리5수화물', '요오드산칼슘', '아셀렌산나트륨']"
알레바 홀리스틱 치킨&덕 퍼피 미니,퍼피,소/중형견,주식,건식,,1.1Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 치킨&덕 퍼피 미디움,퍼피,중/대형견,주식,건식,,1.4Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 피쉬(청어)&햄프 퍼피 미니,퍼피,소/중형견,주식,건식,,1.1Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 피쉬(청어)&햄프 퍼피 미디움,퍼피,중/대형견,주식,건식,,1.4Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 치킨&덕 어덜트 미니,어덜트/시니어,소/중형견,주식,건식,,1.1Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 치킨&덕 어덜트 미디움,어덜트/시니어,중/대형견,주식,건식,,1.4Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 피쉬(청어)&햄프 어덜트 미니,어덜트/시니어,소/중형견,주식,건식,,1.1Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
알레바 홀리스틱 피쉬(청어)&햄프 어덜트 미디움,어덜트/시니어,중/대형견,주식,건식,,1.4Cm,이탈리아,이탈리아,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
어딕션 LID 사슴고기 독,전연령,ALL,주식,건식,,1.2Cm,뉴질랜드,뉴질랜드,24%,9%,3%,8%,10%,1.1%,0.8%,0%,0%,,"['건조 사슴', '건조 감자', '닭 지방(혼합 토코페롤 처리)', '천연향', '아마씨', '건조 켈프', '건조 크랜베리', '건조 사과', '건조 시금치', '건조 맥주 효모', '건조 장구균', '건조 락토바실러스 아시도필루스', '건조 비피도박테리움 롱검', '건조 유산균', '염화나트륨', '비타민E', '나이아신', '판토텐산칼슘', '비타민 A', '비타민 B1', '리보플라빈', '염산피리독신', '비타민B12', '비타민D3', '엽산', '타우린', '염화콜린', '황산 마그네슘', '황산아연', '황산제1철', '탄산칼슘', '황산구리', '황산망간', '요오드산칼슘', '황산 코발트', '아셀렌산나트륨', '녹차추출물', '로즈마리추출물', '스피어민트 추출물']"
어딕션 LID 연어 독,전연령,ALL,주식,건식,,1.2Cm,뉴질랜드,뉴질랜드,24%,9%,3%,8%,10%,1.1%,0.8%,0%,0%,,"['건조연어', '완두콩', '감자', '닭 지방(혼합 토코페롤 처리)', '타피오카', '아마씨', '천연향', '염화나트륨', '건조 켈프', '건조 크랜베리', '건조 블루베리', '건조 시금치', '건조 맥주 효모', '비타민E', '나이아신', '판토텐산칼슘', '비타민 A', '비타민 B1', '리보플라빈', '염산피리독신', '비타민B12', '비타민D3', '엽산', '타우린', '염화콜린', '황산 마그네슘', '황산아연', '황산제1철', '탄산칼슘', '황산구리', '황산망간', '요오드산칼슘', '황산 코발트', '아셀렌산나트륨', '녹차추출물', '로즈마리추출물', '스피어민트 추출물']"
어딕션 양고기 독,전연령,ALL,주식,건식,,1.2Cm,뉴질랜드,뉴질랜드,22%,9%,3%,16.5%,10%,2.1%,1.2%,0%,0%,,"['건조양고기', '감자', '완두콩', '건조 생선', '타피오카', '닭 지방(혼합 토코페롤 처리)', '아마씨', '천연향', '생선기름', '염화나트륨', '건조크랜베리', '건조 블루베리', '강황', '건조 맥주 효모', '캐모마일', '페퍼민트', '건조 장구균', '건조 락토바실러스 아시도필루스', '건조 비피도박테리움 롱검', '건조 유산균', '비타민E', '나이아신', '판토텐산칼슘', '비타민 A', '비타민 B1', '리보플라빈', '염산피리독신', '비타민B12', '비타민D3', '엽산', '타우린', '염화콜린', '황산 마그네슘', '황산아연', '황산제1철', '탄산칼슘', '황산구리', '황산망간', '요오드산칼슘', '황산 코발트', '아셀렌산나트륨', '녹차추출물', '로즈마리추출물', '스피어민트 추출물']"
어스본 홀리스틱 어덜트 밴티지,어덜트,ALL,주식,건식,,1.1Cm,미국,미국,22%,12%,4%,5.8%,10%,1.2%,0.8%,0%,0%,,"['치킨밀', '오트밀', '보리', '현미', '호밀', '감자', '고구마', '닭고기지방(혼합토코페롤보존)', '카놀라유', '토마토포마스', '송어', '갈은 아마씨', '블루베리', '크랜베리', '사과', '당근', '시금치', '염화칼슘', '염화콜린', 'DL-메치오닌', '라이신', '타우린', '글루코사민', '콘드로이틴', '베타카로틴', '황산아연', '황산철', '나이아신', '엽산', '비오틴', '황산망간', '황산구리', '소금', '판토텐산칼슘', '티아민질산염', '피리독신', '리보플라빈', 'L-아스코르빈산', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '셀레나이트', '탄산코발트', '비타민B12', '유카시디게라추출물', '로즈마리추출물', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 퍼피 밴티지,퍼피,ALL,주식,건식,,1.1Cm,미국,미국,28%,20%,5%,7.9%,10%,1.2%,0.8%,2.8%,0.1%,,"['치킨밀', '송어밀', '오트밀', '보리', '현미', '닭고기지방(혼합토코페롤보존)', '호밀', '감자', '고구마', '카놀라유', '토마토포마스', '갈은 아마씨', '천연향', '사과', '블루베리', '크랜베리', '당근', '콩', '시금치', '소금', '염화칼슘', '염화콜린', 'DL-메치오닌', '라이신', '타우린', '유카시디게라추출물', 'L-카르니틴', '베타카로틴', '비타민 A', '비타민D3', '비타민E', '황산아연', 'L-아스코르빈산', '황산철', '나이아신', '판토텐산칼슘', '리보플라빈', '황산구리', '피리독신', '티아민질산염', '황산망간', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '엽산', '셀레나이트', '비오틴', '비타민B12', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 코스탈 캐치 그레인프리,어덜트,ALL,주식,건식,,1.1Cm,미국,미국,32%,18%,4%,8.8%,10%,1.3%,1%,2%,2.6%,,"['송어밀', '감자', '완두콩', '카놀라유', '완두콩단백질', '타피오카', '완두콩섬유', '건조계란', '고구마', '연어밀', '송어', '갈은 아마씨', '천연향', '블루베리', '크랜베리', '사과', '당근', '시금치', '염화콜린', '염화칼슘', 'DL-메치오닌', '라이신', '타우린', 'L-카르니틴', '비타민 A', '비타민D3', '비타민E', '황산아연', '황산철', '나이아신', '엽산', '황산망간', '황산구리', '소금', '판토텐산칼슘', '티아민질산염', '피리독신', '리보플라빈', 'L-아스코르빈산', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '셀레나이트', '탄산코발트', '비타민B12', '유카시디게라추출물', '로즈마리추출물', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 프리머티브 내추럴 그레인프리,어덜트,ALL,주식,건식,,1.1Cm,미국,미국,38%,20%,2.5%,10%,10%,2.4%,1.5%,0.5%,3.3%,,"['칠면조밀', '치킨밀', '감자', '닭고기지방(혼합토코페롤보존)', '송어밀', '건조계란', '토마토포마스', '완두콩', '블루베리', '크랜베리', '사과', '당근', '시금치', '염화칼슘', '염화콜린', 'DL-메치오닌', '라이신', '타우린', '베타카로틴', 'L-카르니틴', '비타민 A', '비타민D3', '비타민E', '황산아연', '황산철', '나이아신', '엽산', '비오틴', '황산망간', '황산구리', '소금', '판토텐산칼슘', '티아민질산염', '피리독신', '리보플라빈', 'L-아스코르빈산', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '셀레나이트', '탄산코발트', '비타민B12', '유카시디게라추출물', '로즈마리추출물', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 스몰브리드,어덜트,소형견,주식,건식,,0.8Cm,미국,미국,28%,17%,6%,7.7%,10%,1.4%,1%,1%,2.8%,,"['치킨밀', '송어밀', '오트밀', '보리', '현미', '닭고기지방(혼합토코페롤보존)', '호밀', '감자', '고구마', '카놀라유', '토마토 포마스', '갈은 아마씨', '천연향', '사과', '블루베리', '크랜베리', '당근', '완두콩', '시금치', '소금', '염화칼슘', '염화콜린', 'DL-메티오닌', 'L-라이신', '타우린', '유카시디게라추출물', 'L-카르니틴', '베타카로틴', '비타민 A', '비타민D3', '비타민E', '황산아연', 'L-아스코르빈산', '황산철', '나이아신', '판토텐산칼슘', '리보플라빈', '황산구리', '피리독신', '티아민질산염', '황산망간', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '탄산코발트', '엽산', '셀레나이트', '비오틴', '비타민B12', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 오션 퓨전,어덜트,ALL,주식,건식,,1.1Cm,미국,미국,22%,12%,4%,5.8%,10%,1.5%,1.1%,1%,2.5%,,"['송어밀', '고구마', '보리', '호밀', '감자', '맨헤이든어분', '카놀라유', '갈은아마씨', '염화칼슘', '염화콜린', 'DL-메티오닌', 'L-라이신', '타우린', '글루코사민', '콘드로이틴', '베타카로틴', 'L-카르니틴', '비타민 A', '비타민D3', '비타민E', '황산아연', '황산철', '나이아신', '엽산', '비오틴', '황산망간', '황산구리', '소금', '판토텐산칼슘', '티아민질산염', '피리독신', '리보플라빈', 'L-아스코르빈산', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '셀레나이트', '탄산코발트', '비타민B12', '유카시디게라추출물', '로즈마리추출물']"
어스본 홀리스틱 웨이트 컨트롤 그레인프리,어덜트,ALL,주식,건식,,1.1Cm,미국,미국,25%,7%,9%,7.7%,10%,1.1%,0.8%,0.45%,1.4%, 글루코사민 (400 mg/kg),"['치킨밀', '완두콩', '타피오카', '완두콩섬유', '토마토포마스', '닭고기지방(혼합토코페롤보존)', '갈은아마씨', '천연향', '제2인산칼슘', '건조계란', '사과', '블루베리', '크랜베리', '당근', '시금치', '염화칼륨', '소금', '염화콜린', 'DL-메티오닌', 'L-라이신', '타우린', '글루코사민', '콘드로이틴', '유카시디게라추출물', 'L-카르니틴', '베타카로틴', '비타민 A', '비타민D3', '비타민E', '황산아연', 'L-아스코르빈산', '황산철', '나이아신', '판토텐산칼슘', '리보플라빈', '황산구리', '피리독신', '티아민질산염', '망간프로티네이트', '아연프로티네이트', '구리프로티네이트', '요오드화칼슘', '탄산코발트', '엽산', '셀레나이트', '비오틴', '비타민B12', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
어스본 홀리스틱 라지브리드 그레인프리,어덜트,대형견,주식,건식,,1.3Cm,미국,미국,26%,13%,5%,7.7%,10%,1.1%,0.8%,0.9%,2.5%, 글루코사민 (400 mg/kg) 콘드로이틴 (250 mg/kg),"['치킨밀', '완두콩', '타피오카', '닭고기지방(혼합토코페롤보존)', '갈은아마씨', '완두콩섬유', '건조계란', '송어', '천연향', '제2인산칼슘', '사과', '블루베리', '크랜베리', '당근', '시금치', '염화칼륨', '소금', '염화콜린', 'DL-메티오닌', 'L-라이신', '타우린', '글루코사민', '콘드로이틴', '유카시디게라추출물', 'L-카르니틴', '베타카로틴', '비타민 A', '비타민D3', '비타민E', '황산아연', 'L-아스코르빈산', '황산철', '나이아신', '판토텐산칼슘', '리보플라빈', '황산구리', '피리독신', '티아민질산염', '아연프로티네이트', '망간프로티네이트', '구리프로티네이트', '요오드화칼슘', '엽산', '셀레나이트', '비오틴', '비타민B12', '말린 락토바실러스 플렌타럼', '말린 엔트로코커스 패시윰 발효제품', '말린 락토바실러스 카제이 발효제품', '말린 락토바실러스 아시도필러스 발효제품']"
에센셜 더 비기닝,퍼피,ALL,주식용,건사료,,1Cm,영국,영국,34%,22%,3%,8.5%,8.5%,1.6%,1.3%,0%,0%, 탄수화물 (0 %)이하,"['닭고기', '고구마', '닭기름', '완두콩', '연어', '송어', '계란', '아마씨', '감자', '닭 간', '오리고기', '알팔파', '비타민&미네랄', '비타민 A', '비타민 D3', '타우린', '철분', '망간', '아연', '구리', '요오드칼슘', '셀레늄', '만난올리고당', '프락토올리고당', '글루코사민', '콘드로이틴', 'MSM', '크랜베리', '아사이베리', '블루베리', '멀베리', '사과', '토마토', '오렌지', '배', '당근', '양배추', '시금치', '해초', '마리골드', '인삼', '녹차추출물']"
에센셜 올더(시니어),시니어,ALL,주식용,건사료,,1Cm,영국,영국,32%,14%,4.5%,8.5%,8.5%,1.7%,1.3%,0%,0%, 탄수화물 (0 %)이하,"['닭고기', '고구마', '감자', '완두콩', '연어', '송어', '계란', '알팔파', '아마씨', '닭 간', '오리고기', '완두콩섬유', '닭기름', '비타민&미네랄', '비타민 A', '비타민 D3', '타우린', '철분', '망간', '아연', '구리', '요오드', '셀레늄', '만난올리고당', '프락토올리고당', '글루코사민', '콘드로이틴', 'MSM', '크랜베리', '아사이베리', '블루베리', '멀베리', '사과', '토마토', '오렌지', '배', '당근', '양배추', '시금치', '해초', '마리골드', '인삼', '녹차 추출물']"
